#{"t_start": 1742567478.495862, "env_id": "None"}
r,l,t
1498.024263,23578,853.647704
293.987547,7733,854.830974
322.296918,6264,855.862871
325.126947,9399,857.326275
365.594977,6770,858.384541
1650.457542,25895,862.489427
-62.266159,4402,863.177244
911.804981,17617,865.972672
287.537715,7330,867.106612
34.839761,1612,867.372679
175.823294,5282,868.223198
697.990588,11466,870.011604
187.890099,5608,870.910233
365.325913,7383,872.095182
406.146635,4549,872.806722
403.312798,10269,874.426607
1960.154821,34427,879.886174
585.170375,12571,881.870907
1821.427373,33123,887.1012
793.540584,22786,890.693538
316.534566,4178,891.349198
317.891262,5307,892.205382
39.849276,1451,892.447614
2673.720753,44134,899.397937
187.426516,3098,899.905064
135.80685,2722,900.32449
362.405267,6120,901.293697
1435.238233,20614,904.549728
458.307681,11761,906.420126
242.873706,6300,907.4126
39.64699,2574,907.809462
342.886388,5179,908.643973
12.773906,7893,909.86024
1974.352751,50052,917.792018
1007.979078,18938,920.775694
13.191722,406,920.831311
1014.226905,19060,923.864851
216.421896,4611,924.583739
828.480814,13241,926.660459
151.828739,2642,927.106907
78.834813,1521,927.315846
909.634254,12928,929.396556
494.168459,9527,930.877367
392.296553,4815,931.669903
509.967365,5956,932.613412
458.487138,6583,933.645025
816.626353,19589,936.722797
297.295466,7659,937.949064
137.160761,3174,938.467707
92.809524,1979,938.791724
23.151669,2361,939.158617
554.559492,18371,942.062908
307.656579,5686,942.969718
232.22353,3179,943.451484
351.255914,5774,944.370277
318.392855,4418,945.067528
606.177588,10932,946.77777
1167.431203,14280,949.028557
743.33308,15583,951.513683
415.12465,9619,953.04616
409.66179,5920,953.982206
815.607835,15671,956.43385
1239.070897,25709,960.510522
67.896051,1099,960.662534
71.518925,2777,961.127292
1496.497113,24864,965.054914
244.467548,4117,965.704624
139.310635,1465,965.946959
448.452845,5750,966.821127
663.313958,8573,968.210394
28.381137,1095,968.3656
880.616506,15543,970.854237
184.31461,3195,971.3362
854.199402,18168,974.221032
212.631793,2879,974.659004
1818.533119,24803,978.618712
1548.691931,27139,982.899612
2722.176404,38825,989.053994
1520.566845,27323,993.360942
571.716552,15783,995.874648
-142.794689,8736,997.245613
1017.147341,17856,1000.091704
331.620423,5163,1000.88539
605.335457,19818,1004.041797
66.056339,726,1004.13949
711.889149,7638,1005.357099
2127.711055,28368,1009.850731
738.083004,9886,1011.420142
214.736308,4021,1012.059205
416.094136,8272,1013.366684
645.590102,12697,1015.361867
55.093078,1083,1015.552019
1635.236383,26779,1019.783309
48.94757,1953,1020.093194
231.521711,4078,1020.741679
1170.490483,15538,1023.179065
1360.569312,22739,1026.766873
1607.057897,24181,1030.602999
1541.902038,24122,1034.424009
215.681714,2291,1034.781647
300.960751,4660,1035.513175
290.019335,3991,1036.147962
673.106289,7984,1037.4122
4858.553608,48800,1045.137767
1429.304531,21588,1048.520877
417.518924,6624,1049.599991
1252.140892,15976,1052.090737
296.188082,4143,1052.744543
571.716029,7874,1053.996715
1018.36724,12913,1056.068833
682.808498,10273,1057.693982
290.129577,4775,1058.435859
858.552989,12672,1060.437302
595.455084,7292,1061.609277
1750.398237,26802,1065.846075
900.010932,9668,1067.386282
784.201199,10990,1069.109506
6590.413473,71073,1080.364949
1756.942106,18190,1083.207116
43.862856,585,1083.332842
458.117194,5100,1084.118405
368.385729,4813,1084.905584
100.376664,1767,1085.146613
898.626559,13553,1087.300928
