time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,2048,6306,,,,,,,,,,,,
0,2,4096,6195,5,0.0001815446,0.0,9.953224182128906,2e-05,53.63252115249634,-1.7916892409324645,-0.0014063040900509805,0.2,0.13747191429138184,,
0,3,6144,6189,10,0.00014449132,0.0,9.191255569458008,2e-05,48.39549608230591,-1.791318693757057,-0.0011449655750766397,0.2,0.07443273067474365,,
1,4,8192,6199,15,0.00010281429,0.0,9.149368286132812,2e-05,49.820603370666504,-1.7907957136631012,-0.000736106000840664,0.2,-0.020456671714782715,,
1,5,10240,6195,20,0.00026203605,0.0,8.44665241241455,2e-05,46.61057863235474,-1.7906336903572082,-0.0015095463604666293,0.2,0.00180131196975708,,
1,6,12288,6175,25,0.00022083093,0.0,6.030099868774414,2e-05,32.01667079925537,-1.7902725964784623,-0.0010479699878487736,0.2,-0.033381104469299316,,
2,7,14336,6166,30,0.0005274238,0.0,1.5451173782348633,2e-05,11.49975323677063,-1.7892623662948608,-0.0021209860569797456,0.2,-0.01784384250640869,,
2,8,16384,6158,35,0.00016218293,0.0,2.470012664794922,2e-05,14.05578305721283,-1.7891470938920975,-0.0013758691726252436,0.2,-0.03523409366607666,,
2,9,18432,6164,40,0.00016533592,0.0,3.046339750289917,2e-05,17.101065278053284,-1.7898795574903488,-0.0015300675062462688,0.2,-0.02011573314666748,,
3,10,20480,6153,45,0.0002340296,0.0,3.373155117034912,2e-05,19.10214157104492,-1.789132183790207,-0.0013553197728469967,0.2,-0.0034145116806030273,,
3,11,22528,6150,50,0.0002668491,0.0,2.8997106552124023,2e-05,20.026523113250732,-1.7867763578891753,-0.0015865460154600441,0.2,-0.0039517879486083984,,
3,12,24576,6149,55,0.00066101114,0.0,2.6807167530059814,2e-05,15.488025617599487,-1.7834624886512755,-0.0032474731851834804,0.2,0.017491519451141357,,
4,13,26624,6152,60,0.0003825489,0.0,1.3978781700134277,2e-05,8.883557558059692,-1.779097494482994,-0.002652598294662312,0.2,-0.035353899002075195,,
4,14,28672,6158,65,8.975377e-05,0.0,6.1579813957214355,2e-05,33.45659070014953,-1.7763929128646851,-0.001078213716391474,0.2,0.010040640830993652,,
4,15,30720,6163,70,0.00012518722,0.0,2.243481397628784,2e-05,13.86440076828003,-1.7770791053771973,-0.0012902728863991796,0.2,-0.011478781700134277,,
5,16,32768,6167,75,2.0999636e-05,0.0,6.403570652008057,2e-05,39.64890365600586,-1.773457607626915,-0.0005341439275071025,0.2,-0.014329791069030762,,
5,17,34816,6170,80,2.2851775e-05,0.0,4.210164546966553,2e-05,24.3914071559906,-1.7712661445140838,-0.0005469002178870141,0.2,-0.036101579666137695,,
5,18,36864,6172,85,2.9293064e-05,0.0,4.095567226409912,2e-05,24.93661699295044,-1.7700514227151871,-0.0006783996766898781,0.2,0.027699530124664307,,
6,19,38912,6175,90,5.0759525e-05,0.0,4.8526692390441895,2e-05,28.65989203453064,-1.7689352601766586,-0.0009079010342247784,0.2,-0.00975644588470459,,
6,20,40960,6180,95,4.8999093e-05,0.0,6.546792984008789,2e-05,36.92889223098755,-1.7677841812372208,-0.0008979783626273275,0.2,0.007868647575378418,,
6,21,43008,6182,100,0.00012261712,0.0,3.7853050231933594,2e-05,20.223954248428345,-1.7664148181676864,-0.0014114343386609108,0.2,0.011436641216278076,,
7,22,45056,6186,105,0.0001292298,0.0,3.136610984802246,2e-05,17.836670255661012,-1.763257735967636,-0.0015212798840366303,0.2,-0.027538657188415527,,
7,23,47104,6187,110,2.2496359e-05,0.0,7.997723579406738,2e-05,42.57014636993408,-1.760018566250801,-0.0004988455562852323,0.2,0.025375843048095703,,
7,24,49152,6190,115,3.7584687e-05,0.0,6.447900772094727,2e-05,36.22640857696533,-1.7582594484090805,-0.0007160493638366461,0.2,0.01024395227432251,-11.003071,48303.0
8,25,51200,6187,120,1.6269158e-05,0.0,11.1386079788208,2e-05,57.983508586883545,-1.7675143301486969,-0.00019667394226416946,0.2,0.09151768684387207,-11.003071,48303.0
