#{"t_start": 1742560785.5618956, "env_id": "None"}
r,l,t
-864.089951,8720,7.226018
-3803.814637,39995,38.9662
-957.699254,12377,49.428005
-378.738083,5658,54.672261
-1300.711336,18046,69.710426
